voice-gateway-cpp started host=127.0.0.1 port=18080 codec=pcmu ptime_ms=20
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53603 ts=3460304562 ssrc=2473087593 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53604 ts=3460304722 ssrc=2473087593 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53605 ts=3460304882 ssrc=2473087593 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53606 ts=3460305042 ssrc=2473087593 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53607 ts=3460305202 ssrc=2473087593 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53608 ts=3460305362 ssrc=2473087593 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53609 ts=3460305522 ssrc=2473087593 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53610 ts=3460305682 ssrc=2473087593 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53611 ts=3460305842 ssrc=2473087593 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53612 ts=3460306002 ssrc=2473087593 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53613 ts=3460306162 ssrc=2473087593 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53614 ts=3460306322 ssrc=2473087593 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53615 ts=3460306482 ssrc=2473087593 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53616 ts=3460306642 ssrc=2473087593 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53617 ts=3460306802 ssrc=2473087593 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53618 ts=3460306962 ssrc=2473087593 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53619 ts=3460307122 ssrc=2473087593 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53620 ts=3460307282 ssrc=2473087593 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53621 ts=3460307442 ssrc=2473087593 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53622 ts=3460307602 ssrc=2473087593 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53623 ts=3460307762 ssrc=2473087593 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53624 ts=3460307922 ssrc=2473087593 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53625 ts=3460308082 ssrc=2473087593 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53626 ts=3460308242 ssrc=2473087593 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53627 ts=3460308402 ssrc=2473087593 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53628 ts=3460308562 ssrc=2473087593 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53629 ts=3460308722 ssrc=2473087593 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53630 ts=3460308882 ssrc=2473087593 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53631 ts=3460309042 ssrc=2473087593 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53632 ts=3460309202 ssrc=2473087593 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53633 ts=3460309362 ssrc=2473087593 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53634 ts=3460309522 ssrc=2473087593 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53635 ts=3460309682 ssrc=2473087593 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468079.1-32000 seq=53636 ts=3460309842 ssrc=2473087593 packets_in=34 packets_out=34
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33818 ts=1171475920 ssrc=1523172011 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33819 ts=1171476080 ssrc=1523172011 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33820 ts=1171476240 ssrc=1523172011 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33821 ts=1171476400 ssrc=1523172011 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33822 ts=1171476560 ssrc=1523172011 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33823 ts=1171476720 ssrc=1523172011 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33824 ts=1171476880 ssrc=1523172011 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33825 ts=1171477040 ssrc=1523172011 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33826 ts=1171477200 ssrc=1523172011 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33827 ts=1171477360 ssrc=1523172011 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33828 ts=1171477520 ssrc=1523172011 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33829 ts=1171477680 ssrc=1523172011 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33830 ts=1171477840 ssrc=1523172011 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33831 ts=1171478000 ssrc=1523172011 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33832 ts=1171478160 ssrc=1523172011 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33833 ts=1171478320 ssrc=1523172011 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468080.1-32001 seq=33834 ts=1171478480 ssrc=1523172011 packets_in=17 packets_out=17
